elev_deg,tof_s,range_m,bearing_deg
5.0,8.074919974937629,3319.557855633798,8.039601947261362e-19
6.0,9.585352247834717,3839.667798537392,-2.936005646228704e-18
7.0,11.058352808113474,4325.450718745633,-9.172518470214548e-20
8.0,12.492658835095332,4782.404544360702,1.600206130547034e-18
9.0,13.891468860930784,5215.264751539789,1.5589033660636278e-18
10.0,15.259778580540473,5627.590790083366,-4.709750045128558e-19
11.0,16.601569400250977,6021.970604695532,-4.753396679634123e-18
12.0,17.91985780865488,6400.3517567634435,-1.999782421728766e-19
13.0,19.21773173617146,6764.205292240257,-2.057379225219731e-18
14.0,20.498335466930182,7114.524046782508,4.405065251536121e-18
15.0,21.76374548832109,7451.952395991228,5.405140796654078e-18
16.0,23.015324622683423,7776.925585996058,9.830363541794347e-18
17.0,24.253987571164394,8089.746544754105,-1.4701875750127126e-18
18.0,25.48035459950007,8390.630941696958,4.2088693638636345e-18
19.0,26.694846108113282,8679.73497370704,9.474249162526593e-18
20.0,27.897743132448152,8957.17305413945,8.408448887992826e-18
21.0,29.089227912337872,9223.029597083996,5.769135782515429e-18
22.0,30.269411248230814,9477.366892900583,-4.124188478838195e-18
23.0,31.438351553402512,9720.230536581088,2.7502355029782958e-17
24.0,32.59606809470745,9951.653189351196,-1.326178082668319e-17
25.0,33.74255045895261,10171.657243409092,7.326000413031333e-18
26.0,34.87776539661761,10380.256782543109,6.6540089882981595e-18
27.0,36.002841181623594,10577.037931704626,1.3204095864282961e-18
28.0,37.11776231370558,10761.775461902147,-1.4354917369040712e-17
29.0,38.221827777596296,10934.518429492513,6.00558774707798e-18
30.0,39.31469426871988,11095.239326248895,9.990289208171473e-19
31.0,40.39608440084936,11243.905815168198,-9.36728594045288e-18
32.0,41.465747742009064,11380.48764712771,-3.4551124983679364e-18
33.0,42.52344828172291,11504.958398054503,1.1501933624307133e-17
34.0,43.56895869211809,11617.295828663779,5.759802069654052e-18
35.0,44.60205756020692,11717.481932979485,2.277760039881375e-18
36.0,45.6225276781952,11805.502832756956,-2.2639100003494396e-17
37.0,46.63015488615572,11881.348598138187,-6.067053362273837e-18
38.0,47.62477361721406,11944.972289923204,-6.628349919866152e-18
39.0,48.6063803447308,11996.155846407195,5.807778287062454e-18
40.0,49.574611618827134,12034.985114902356,-3.1961924474622506e-18
41.0,50.52919274811601,12061.497430593165,-1.2078075356419121e-17
42.0,51.46987842487286,12075.717305210317,9.736837168446681e-19
43.0,52.396434677978625,12077.66852936141,-7.475456365977492e-18
44.0,53.308633360880975,12067.376889047886,2.4528718595680393e-17
45.0,54.20624979705875,12044.871185563714,1.9181436001788566e-17
